X_UTM,Y_UTM,X_NZTM,Y_NZTM,DISTANCE,GPS_ELEV,SP_mVolts,CO2_gm-2d-1,Remarks,X_NZTM_new,Y_NZTM_new,LiDAR_z
311647,5927345,1768590.325,5927758.222,5800,24,-43.44837758,0,,1768590.325,5927758.222,14.79
311663,5927340,1768606.1,5927752.558,5820,22,-17.66371681,0,,1768606.1,5927752.558,14.35
311681,5927332,1768623.749,5927743.813,5840,18,-27.87905605,0,,1768623.749,5927743.813,13.83
311700,5927324,1768642.396,5927735.027,5860,20,-36.09439528,0,,1768642.396,5927735.027,13.24
311723,5927321,1768665.249,5927731.068,5880,16,-24.30973451,0,,1768665.249,5927731.068,12.11
311744,5927327,1768686.479,5927736.185,5900,19,-22.52507375,0,,1768686.479,5927736.185,11.49
311761,5927336,1768703.839,5927744.465,5920,18,-24.74041298,0,,1768703.839,5927744.465,11.38
311776,5927348,1768719.326,5927755.827,5940,17,-17.95575221,0,,1768719.326,5927755.827,10.37
311796,5927356,1768739.642,5927762.983,5960,16,-22.17109145,0,,1768739.642,5927762.983,10.21
311810,5927370,1768754.213,5927776.385,5980,16,-7.386430678,0,,1768754.213,5927776.385,8.16
311826,5927381,1768770.658,5927786.706,6000,14,-11.60176991,0,,1768770.658,5927786.706,7.27
311842,5927399,1768787.395,5927804.02,6020,16,-2.817109145,0,,1768787.395,5927804.02,7.61
311852,5927413,1768797.97,5927817.588,6040,17,-20.03244838,0,,1768797.97,5927817.588,9.54
311863,5927431,1768809.712,5927835.111,6060,13,-10.24778761,0,,1768809.712,5927835.111,10.43
311872,5927446,1768819.33,5927849.721,6080,16,-19.46312684,0,,1768819.33,5927849.721,11.41
311883,5927461,1768830.947,5927864.246,6100,20,-28.67846608,0,,1768830.947,5927864.246,11.91
311896,5927480,1768844.728,5927882.685,6120,19,-23.89380531,0,,1768844.728,5927882.685,13.24
311906,5927494,1768855.304,5927896.254,6140,18,-18.10914454,0,,1768855.304,5927896.254,12.21
311915,5927511,1768865.006,5927912.861,6160,17,-10.32448378,0,,1768865.006,5927912.861,11.3
311923,5927530,1768873.792,5927931.508,6180,17,-18.53982301,0,,1768873.792,5927931.508,11.02
311928,5927553,1768879.749,5927954.277,6200,16,-13.75516224,0,,1768879.749,5927954.277,10.22
311942,5927565,1768894.237,5927965.681,6220,19,-8.970501475,0,,1768894.237,5927965.681,9.36
311961,5927573,1768913.553,5927972.879,6240,15,-27.18584071,0,,1768913.553,5927972.879,8.21
311979,5927583,1768931.954,5927982.117,6260,12,-10.40117994,0,,1768931.954,5927982.117,6.93
311995,5927596,1768948.482,5927994.436,6280,13,-10.61651917,0,,1768948.482,5927994.436,6.28
312005,5927605,1768958.848,5928003.009,6300,9,-10.83185841,0,,1768958.848,5928003.009,6.1
312018,5927624,1768972.63,5928021.448,6320,12,-14.04719764,0,,1768972.63,5928021.448,6.17
312031,5927646,1768986.537,5928042.884,6340,14,-18.26253687,0,,1768986.537,5928042.884,5.55
312036,5927663,1768992.243,5928059.658,6360,13,-20.47787611,0,,1768992.243,5928059.658,6.76
312042,5927681,1768998.989,5928077.39,6380,12,-12.69321534,0,,1768998.989,5928077.39,6.89
312049,5927702,1769006.86,5928098.078,6400,10,-11.90855457,0,,1769006.86,5928098.078,5.92
312060,5927718,1769018.518,5928113.603,6420,11,-6.123893805,0,,1769018.518,5928113.603,6.55
312067,5927740,1769026.431,5928135.289,6440,13,-11.33923304,0,,1769026.431,5928135.289,7.86
312081,5927749,1769040.794,5928143.695,6460,16,-12.55457227,0,,1769040.794,5928143.695,7.96
312105,5927760,1769065.231,5928153.682,6480,19,-6.769911504,0,,1769065.231,5928153.682,8.83
312117,5927771,1769077.679,5928164.17,6500,19,7.014749263,0,,1769077.679,5928164.17,9.13
312133,5927783,1769094.165,5928175.49,6520,18,-20.20058997,0,,1769094.165,5928175.49,10.09
312149,5927795,1769110.651,5928186.809,6540,17,3.584070796,0,,1769110.651,5928186.809,10.29
312170,5927808,1769132.174,5928198.919,6560,21,-13.63126844,0,,1769132.174,5928198.919,9.6
312180,5927822,1769142.75,5928212.488,6580,15,0.15339233,0,,1769142.75,5928212.488,8.56
312192,5927836,1769155.324,5928225.973,6600,16,1.938053097,0,,1769155.324,5928225.973,8.06
312206,5927853,1769170.021,5928242.372,6620,22,1.722713864,0,,1769170.021,5928242.372,7.51
312219,5927868,1769183.635,5928256.814,6640,20,10.50737463,0,,1769183.635,5928256.814,7.46
312232,5927885,1769197.333,5928273.255,6660,22,-1.707964602,0,,1769197.333,5928273.255,7.78
312243,5927900,1769208.95,5928287.781,6680,20,-3.923303835,0,,1769208.95,5928287.781,7.16
312260,5927919,1769226.727,5928306.052,6700,18,1.861356932,0,,1769226.727,5928306.052,5.73
312277,5927924,1769243.92,5928310.337,6720,14,3.646017699,0,,1769243.92,5928310.337,4.84
312292,5927937,1769259.449,5928322.697,6740,14,4.430678466,0,,1769259.449,5928322.697,3.48
